,action,left,light,next_waypoint,oncoming,reward,right
1455,forward,None,red,right,None,-1.0,None
1456,None,None,green,right,None,1.0,None
1457,None,None,green,right,None,1.0,None
1458,right,None,green,right,None,2.0,None
1459,left,None,green,right,None,0.5,None
1460,left,None,green,forward,None,0.5,None
1461,right,None,red,right,None,2.0,None
1462,None,None,green,left,None,1.0,None
1463,None,None,green,left,None,1.0,None
1464,None,None,green,left,None,1.0,None
1465,left,None,green,left,None,2.0,None
1466,forward,None,green,forward,None,2.0,None
1467,None,None,green,forward,None,1.0,None
1468,forward,None,green,forward,None,2.0,None
1469,None,None,red,forward,None,1.0,None
1470,None,None,red,forward,None,1.0,None
1471,right,None,red,forward,None,0.5,None
1472,None,None,red,right,None,1.0,None
1473,right,None,red,right,None,2.0,None
1474,None,None,green,right,None,1.0,None
1475,forward,None,green,right,None,0.5,None
1476,left,None,green,right,None,0.5,None
1477,forward,None,green,right,None,0.5,None
1478,None,None,green,right,None,1.0,None
1479,left,None,green,right,None,0.5,None
1480,right,None,red,left,None,0.5,None
1481,left,None,green,right,None,0.5,None
1482,left,None,red,left,None,-1.0,None
1483,right,None,green,left,None,0.5,None
1484,right,None,red,right,None,2.0,None
1485,left,None,red,right,None,-1.0,None
1486,right,None,red,right,None,2.0,None
1487,left,None,green,forward,None,0.5,None
1488,right,None,red,right,None,2.0,None
1489,left,None,green,forward,None,0.5,None
1490,left,None,red,right,None,-1.0,None
1491,right,None,red,right,None,2.0,None
1492,right,None,red,forward,None,0.5,None
1493,right,None,green,left,None,0.5,None
1494,right,None,red,right,None,2.0,None
1495,right,None,green,right,None,2.0,None
1496,right,None,red,forward,None,0.5,None
1497,None,right,red,left,None,1.0,None
1498,forward,None,red,left,None,-1.0,None
1499,None,None,red,left,None,1.0,None
1500,left,None,red,left,None,-1.0,None
1501,None,None,red,left,None,1.0,None
1502,left,None,green,left,None,2.0,None
1503,left,None,red,forward,None,-1.0,None
1504,forward,None,red,forward,None,-1.0,None
1505,None,None,red,forward,None,1.0,None
1506,forward,None,red,forward,None,-1.0,None
1507,None,None,green,forward,None,1.0,None
1508,left,None,green,forward,None,0.5,None
1509,None,None,green,right,None,1.0,None
1510,right,None,green,right,None,2.0,None
1511,left,None,red,right,None,-1.0,None
1512,right,None,green,right,None,2.0,None
1513,right,None,green,forward,None,0.5,None
1514,right,None,red,right,None,2.0,None
1515,right,None,red,right,None,2.0,None
1516,None,None,green,right,None,1.0,None
1517,forward,None,red,right,None,-1.0,None
1518,None,None,red,right,None,1.0,None
1519,forward,None,red,right,forward,-1.0,None
1520,left,None,red,right,forward,-1.0,None
1521,forward,None,red,right,forward,-1.0,None
1522,right,None,green,right,None,2.0,None
1523,left,None,green,forward,None,0.5,None
1524,right,None,red,right,None,2.0,None
1525,left,None,green,right,None,0.5,None
1526,right,None,red,forward,None,0.5,None
1527,forward,None,red,left,None,-1.0,None
1528,right,None,red,left,None,0.5,None
1529,right,None,red,forward,None,0.5,None
1530,None,None,red,left,None,1.0,None
1531,None,None,green,left,None,1.0,None
1532,forward,None,green,left,None,0.5,None
1533,forward,None,green,left,None,0.5,None
1534,forward,None,green,left,None,0.5,None
1535,left,None,green,left,None,2.0,None
1536,None,None,green,left,None,1.0,None
1537,None,None,red,left,None,1.0,None
1538,forward,None,red,left,None,-1.0,None
1539,None,None,red,left,None,1.0,None
1540,None,None,green,left,None,1.0,None
1541,None,None,green,left,None,1.0,None
1542,right,None,green,left,None,0.5,None
1543,None,None,red,forward,None,1.0,None
1544,forward,None,red,forward,None,-1.0,None
1545,forward,None,red,forward,None,-1.0,None
1546,left,None,green,forward,None,0.5,None
1547,right,None,green,right,None,2.0,None
1548,None,None,green,forward,None,1.0,None
1549,right,None,green,forward,None,0.5,None
1550,forward,None,green,left,None,0.5,None
1551,left,None,red,left,None,-1.0,None
1552,left,None,green,left,None,2.0,None
1553,right,None,green,forward,None,0.5,None
1554,None,None,red,left,None,1.0,None
1555,right,None,red,left,None,0.5,None
1556,left,None,green,right,None,0.5,None
1557,left,None,green,left,None,2.0,None
1558,forward,None,green,forward,None,2.0,None
1559,left,None,red,left,None,-1.0,None
1560,forward,None,red,left,None,-1.0,None
1561,left,None,green,left,None,12.0,None
