,action,left,light,next_waypoint,oncoming,reward,right
314,forward,None,green,right,None,0.5,None
315,None,None,red,right,None,1.0,None
316,None,None,red,right,None,1.0,None
317,right,None,red,right,None,2.0,None
318,right,None,red,left,None,0.5,None
319,forward,None,green,forward,None,2.0,None
320,left,None,green,forward,None,0.5,None
321,left,None,green,right,None,0.5,None
322,right,None,green,left,None,0.5,None
323,None,None,red,right,forward,1.0,None
324,forward,None,green,right,None,0.5,None
325,forward,None,green,right,None,0.5,None
326,left,None,green,forward,None,0.5,None
327,left,None,green,right,None,0.5,None
328,right,None,red,forward,None,0.5,None
329,left,None,green,left,None,2.0,None
330,forward,None,red,forward,None,-1.0,None
331,forward,None,red,forward,None,-1.0,None
332,right,None,red,forward,None,0.5,None
333,left,None,red,left,None,-1.0,None
334,None,None,green,left,None,1.0,None
335,forward,None,green,left,None,0.5,None
336,left,None,green,left,None,2.0,None
337,left,None,green,forward,None,0.5,None
338,left,None,red,right,None,-1.0,None
339,None,None,green,right,None,1.0,None
340,forward,None,green,right,None,0.5,None
341,right,None,red,right,None,2.0,None
342,forward,None,green,left,None,0.5,None
343,left,forward,green,left,None,2.0,None
344,left,None,red,forward,None,-1.0,None
345,left,None,red,forward,None,-1.0,None
346,None,None,red,forward,None,1.0,None
347,None,None,green,forward,None,1.0,None
348,forward,None,green,forward,None,2.0,None
349,right,None,green,forward,None,0.5,None
350,None,None,red,left,None,1.0,None
351,right,None,green,left,None,0.5,None
352,forward,None,green,right,None,0.5,None
353,left,None,red,right,None,-1.0,left
354,left,None,red,right,None,-1.0,None
355,left,None,red,right,None,-1.0,None
356,None,None,red,right,None,1.0,None
357,right,None,green,right,None,2.0,None
358,right,None,red,right,None,2.0,None
359,forward,None,green,forward,None,2.0,forward
360,left,None,green,forward,None,0.5,None
361,right,None,red,right,None,2.0,None
362,forward,None,red,forward,None,-1.0,None
363,left,None,red,forward,None,-1.0,None
364,left,None,red,forward,None,-1.0,None
365,right,None,red,forward,None,0.5,None
366,right,None,green,left,None,0.5,None
367,right,None,green,right,None,2.0,None
368,left,None,red,right,None,-1.0,None
369,right,None,red,right,None,2.0,None
370,right,None,red,forward,None,0.5,None
371,left,None,red,left,None,-1.0,None
372,left,None,red,left,None,-1.0,None
373,forward,None,red,left,None,-1.0,None
374,left,None,green,left,None,2.0,None
375,right,None,green,left,None,0.5,None
376,left,None,red,right,None,-1.0,None
377,right,None,green,right,None,2.0,None
378,right,None,green,right,None,2.0,None
379,right,None,red,right,None,2.0,None
380,right,None,red,left,None,0.5,None
381,forward,None,green,right,None,0.5,None
382,None,None,green,forward,None,1.0,None
383,forward,None,green,forward,None,2.0,None
384,None,None,green,forward,None,1.0,None
